# omega[eV] tauAC[fs]
0.000000000000000000e+00 1.153056934477106807e+02
1.000000000000000021e-02 1.152505913966956257e+02
2.000000000000000042e-02 1.150890207969138430e+02
3.000000000000000236e-02 1.148310886032567453e+02
4.000000000000000083e-02 1.144921235495550320e+02
4.999999999999999584e-02 1.140906114193052900e+02
6.000000000000000472e-02 1.136460553458859835e+02
7.000000000000000666e-02 1.131770941815949953e+02
8.000000000000000167e-02 1.127001292930129068e+02
8.999999999999999667e-02 1.122285428525070046e+02
9.999999999999999167e-02 1.117724536553769497e+02
1.099999999999999867e-01 1.113388774334219562e+02
1.200000000000000094e-01 1.109321366147189991e+02
1.300000000000000044e-01 1.105543820699898987e+02
1.400000000000000133e-01 1.102061257430206780e+02
1.499999999999999944e-01 1.098867219797995318e+02
1.600000000000000033e-01 1.095947677201598935e+02
1.700000000000000122e-01 1.093284143548470126e+02
1.799999999999999933e-01 1.090855975205502801e+02
1.900000000000000022e-01 1.088641975473651513e+02
1.999999999999999833e-01 1.086621450829884168e+02
2.100000000000000200e-01 1.084774855934608269e+02
2.199999999999999734e-01 1.083084143936329298e+02
2.300000000000000100e-01 1.081532914681249338e+02
2.400000000000000189e-01 1.080106430802028967e+02
2.500000000000000000e-01 1.078791552424611524e+02
2.600000000000000089e-01 1.077576625953046232e+02
2.700000000000000178e-01 1.076451350828460249e+02
2.800000000000000266e-01 1.075406639731558869e+02
2.899999999999999800e-01 1.074434481752846011e+02
2.999999999999999889e-01 1.073527813984615591e+02
3.099999999999999978e-01 1.072680404286639231e+02
3.200000000000000067e-01 1.071886746245209849e+02
3.300000000000000155e-01 1.071141966282442866e+02
3.400000000000000244e-01 1.070441742261252500e+02
3.500000000000000333e-01 1.069782232615541204e+02
3.599999999999999867e-01 1.069160014907234455e+02
3.699999999999999956e-01 1.068572032698765213e+02
3.800000000000000044e-01 1.068015549682365020e+02
3.900000000000000133e-01 1.067488110095008977e+02
3.999999999999999667e-01 1.066987504549592956e+02
4.099999999999999756e-01 1.066511740517312603e+02
4.200000000000000400e-01 1.066059016795913266e+02
4.299999999999999933e-01 1.065627701390125566e+02
4.399999999999999467e-01 1.065216312312496143e+02
4.500000000000000111e-01 1.064823500884789951e+02
4.600000000000000200e-01 1.064448037182370115e+02
4.699999999999999734e-01 1.064088797317618571e+02
4.800000000000000377e-01 1.063744752303999661e+02
4.900000000000000466e-01 1.063414958281254741e+02
5.000000000000000000e-01 1.063098547915043639e+02
5.100000000000000089e-01 1.062794722812094790e+02
5.200000000000000178e-01 1.062502746815425780e+02
5.300000000000000266e-01 1.062221940063962649e+02
5.400000000000000355e-01 1.061951673717638585e+02
5.499999999999999334e-01 1.061691365263166489e+02
5.600000000000000533e-01 1.061440474327690140e+02
5.699999999999999512e-01 1.061198498937596497e+02
5.799999999999999600e-01 1.060964972168456057e+02
5.900000000000000799e-01 1.060739459139314249e+02
5.999999999999999778e-01 1.060521554310853105e+02
6.099999999999999867e-01 1.060310879052215540e+02
6.199999999999999956e-01 1.060107079445905214e+02
6.300000000000000044e-01 1.059909824304032639e+02
6.400000000000000133e-01 1.059718803372588667e+02
6.500000000000000222e-01 1.059533725703251434e+02
6.600000000000000311e-01 1.059354318174831491e+02
6.700000000000000400e-01 1.059180324148511971e+02
6.800000000000000488e-01 1.059011502243009346e+02
6.899999999999999467e-01 1.058847625217348138e+02
7.000000000000000666e-01 1.058688478950376322e+02
7.099999999999999645e-01 1.058533861507408602e+02
7.199999999999999734e-01 1.058383582285408551e+02
7.300000000000000933e-01 1.058237461229155230e+02
7.399999999999999911e-01 1.058095328111555204e+02
7.500000000000000000e-01 1.057957021872107219e+02
7.600000000000000089e-01 1.057822390008076781e+02
7.700000000000000178e-01 1.057691288013571977e+02
7.800000000000000266e-01 1.057563578862149853e+02
7.900000000000000355e-01 1.057439132529096213e+02
7.999999999999999334e-01 1.057317825549853296e+02
8.100000000000000533e-01 1.057199540611443922e+02
8.199999999999999512e-01 1.057084166174057884e+02
8.299999999999999600e-01 1.056971596120241514e+02
8.400000000000000799e-01 1.056861729429343200e+02
8.499999999999999778e-01 1.056754469875157838e+02
8.599999999999999867e-01 1.056649725744822490e+02
8.700000000000001066e-01 1.056547409577271139e+02
8.799999999999998934e-01 1.056447437919667038e+02
8.900000000000000133e-01 1.056349731100392262e+02
9.000000000000000222e-01 1.056254213017280108e+02
9.099999999999999201e-01 1.056160810939939410e+02
9.200000000000000400e-01 1.056069455325063586e+02
9.300000000000000488e-01 1.055980079643741476e+02
9.399999999999999467e-01 1.055892620219882900e+02
9.500000000000000666e-01 1.055807016078935590e+02
9.600000000000000755e-01 1.055723208806103628e+02
9.699999999999999734e-01 1.055641142413431766e+02
9.800000000000000933e-01 1.055560763215061542e+02
9.899999999999998801e-01 1.055482019710121051e+02
