# hist, gauss, lorentz, allen
3.246143741785920156e+01 3.212847808689733853e+01 3.320831861349828529e+01 3.352726599397001905e+01
3.243665401359906753e+01 3.210398531394116617e+01 3.318300808983473615e+01 3.297742218000813352e+01
3.239710020179277450e+01 3.206489528551222179e+01 3.314261339468865941e+01 3.217819703851938584e+01
3.234513958889179719e+01 3.201354382026086398e+01 3.308954885701346171e+01 3.202712515117636372e+01
3.228361930904360833e+01 3.195274459428739178e+01 3.302672258869369415e+01 3.189165747180084765e+01
3.221553863516734140e+01 3.188546165437968938e+01 3.295719793667205977e+01 3.171511836912137028e+01
3.214375853797454141e+01 3.181452239270098659e+01 3.288389680785352454e+01 3.167154187725534342e+01
3.207079085190979839e+01 3.174240918740956729e+01 3.280938435262974195e+01 3.160228647248297307e+01
3.199867949509785348e+01 3.167114201170976528e+01 3.273574770329224748e+01 3.155197115193665169e+01
3.192896487366041924e+01 3.160224324834469201e+01 3.266455968535944976e+01 3.150605595096697797e+01
3.186271045695514204e+01 3.153676394512370251e+01 3.259690602045085228e+01 3.146364713170028793e+01
3.180056729919684955e+01 3.147534757287126439e+01 3.253345126816510202e+01 3.140005344175759916e+01
3.174285520631839219e+01 3.141831023534379952e+01 3.247452174851687801e+01 3.133341619196258065e+01
3.168964501558078339e+01 3.136572198090034647e+01 3.242018958379586024e+01 3.133693858233858975e+01
3.164083254408122414e+01 3.131747988250016590e+01 3.237034821967329634e+01 3.138588375617701232e+01
3.159619977218273945e+01 3.127336850355382225e+01 3.232477490224852090e+01 3.137458538659475593e+01
3.155546229823840676e+01 3.123310679681996049e+01 3.228317913102703329e+01 3.136579072098324161e+01
3.151830413883167381e+01 3.119638249758749993e+01 3.224523818772407679e+01 3.140268472697578517e+01
3.148440190109723957e+01 3.116287601367709925e+01 3.221062181218983511e+01 3.139938450589115959e+01
3.145344059878409126e+01 3.113227605712460999e+01 3.217900834616475692e+01 3.146900754408865808e+01
3.142512323252363515e+01 3.110428911306064492e+01 3.215009451057954237e+01 3.151235144392380860e+01
3.139917592444451344e+01 3.107864451490628710e+01 3.212360064445392993e+01 3.151212411391295731e+01
3.137535002091598457e+01 3.105509652308939295e+01 3.209927284894376243e+01 3.155442673508902018e+01
3.135342222569940063e+01 3.103342445712001307e+01 3.207688312107987372e+01 3.158290801112372748e+01
3.133319352966488225e+01 3.101343163822164684e+01 3.205622825934860742e+01 3.160389263074845445e+01
3.131448746964401053e+01 3.099494366886750640e+01 3.203712808475978591e+01 3.164941138663379405e+01
3.129714807325807868e+01 3.097780640189814605e+01 3.201942334163403103e+01 3.164262779054232411e+01
3.128103771921280796e+01 3.096188382603889622e+01 3.200297351233465548e+01 3.166097992227898672e+01
3.126603505318806597e+01 3.094705600631730391e+01 3.198765468894673702e+01 3.168185615625243301e+01
3.125203303860667603e+01 3.093321715774629865e+01 3.197335758280102880e+01 3.166305628470693989e+01
3.123893718141325948e+01 3.092027389095422052e+01 3.195998571175609371e+01 3.168075100719234527e+01
3.122666394242579102e+01 3.090814364317211371e+01 3.194745377905843498e+01 3.173603357305810846e+01
3.121513933527365126e+01 3.089675329262011871e+01 3.193568624173212100e+01 3.175399454508082897e+01
3.120429769909711837e+01 3.088603794559850257e+01 3.192461605743126185e+01 3.176734877558777370e+01
3.119408063071707460e+01 3.087593988117406241e+01 3.191418359413363959e+01 3.179884978266535001e+01
3.118443605927768303e+01 3.086640763666563814e+01 3.190433568531326003e+01 3.180367749766710261e+01
3.117531744632616508e+01 3.085739521709426469e+01 3.189502481319494720e+01 3.184369611826574697e+01
3.116668309520585112e+01 3.084886141266358450e+01 3.188620840362392883e+01 3.186869894247443113e+01
3.115849555503115553e+01 3.084076920971299884e+01 3.187784821750872055e+01 3.188296076932570600e+01
3.115072110610120149e+01 3.083308528215447808e+01 3.186990982541563611e+01 3.193727590152660767e+01
3.114332931521196457e+01 3.082577955198883757e+01 3.186236215353231316e+01 3.196843181324434369e+01
3.113629265085119613e+01 3.081882480900275212e+01 3.185517709077264570e+01 3.198989701719423095e+01
3.112958614965027238e+01 3.081219638112261450e+01 3.184832914821679850e+01 3.201314113862319033e+01
3.112318712670820986e+01 3.080587184812642221e+01 3.184179516334482685e+01 3.205501871247658841e+01
3.111707492348602244e+01 3.079983079248640365e+01 3.183555404263093891e+01 3.208071069135803555e+01
3.111123068790938362e+01 3.079405458204264434e+01 3.182958653702267426e+01 3.209692588561474480e+01
3.110563718212099005e+01 3.078852618000288643e+01 3.182387504565087610e+01 3.212027408759797709e+01
3.110027861400912030e+01 3.078322997844036024e+01 3.181840344381563668e+01 3.212075418373252944e+01
3.109514048922143914e+01 3.077815165203707437e+01 3.181315693188806293e+01 3.216258117882006928e+01
3.109020948086427083e+01 3.077327802930575729e+01 3.180812190226908243e+01 3.219133603744115391e+01
3.108547331450391127e+01 3.076859697893476309e+01 3.180328582197213905e+01 3.221249991123055878e+01
3.108092066643760987e+01 3.076409730924762442e+01 3.179863712875429727e+01 3.222242450689462601e+01
3.107654107349793549e+01 3.075976867906081935e+01 3.179416513902321384e+01 3.223351779120877580e+01
3.107232485290506929e+01 3.075560151847246004e+01 3.178985996600342290e+01 3.222965899478483465e+01
3.106826303089259511e+01 3.075158695832148936e+01 3.178571244686051855e+01 3.223784033152194439e+01
3.106434727901238801e+01 3.074771676723634428e+01 3.178171407766564371e+01 3.223661530085853144e+01
3.106056985717511054e+01 3.074398329534069418e+01 3.177785695523763820e+01 3.223247189299515725e+01
3.105692356261257103e+01 3.074037942381146138e+01 3.177413372503139399e+01 3.222607094186062682e+01
3.105340168405776069e+01 3.073689851959396790e+01 3.177053753435339445e+01 3.222515293840125850e+01
3.104999796053188632e+01 3.073353439466996662e+01 3.176706199028163624e+01 3.221076482793807827e+01
3.104670654420774412e+01 3.073028126935456328e+01 3.176370112174720717e+01 3.221211895426895211e+01
3.104352196688741827e+01 3.072713373916492685e+01 3.176044934530634833e+01 3.221160121772215490e+01
3.104043910969055986e+01 3.072408674486264957e+01 3.175730143419075091e+01 3.222344137892448401e+01
3.103745317560091976e+01 3.072113554532040425e+01 3.175425249027608743e+01 3.226084275439471583e+01
3.103455966456119697e+01 3.071827569290748983e+01 3.175129791865264650e+01 3.227352890507764016e+01
3.103175435084510880e+01 3.071550301112589310e+01 3.174843340452080653e+01 3.229763309603778509e+01
3.102903326246703131e+01 3.071281357426019909e+01 3.174565489216730185e+01 3.231933640271295616e+01
3.102639266241873628e+01 3.071020368883316110e+01 3.174295856580685893e+01 3.233611983916148347e+01
3.102382903154666849e+01 3.070766987668276826e+01 3.174034083209885893e+01 3.234246007984803839e+01
3.102133905290491711e+01 3.070520885949773060e+01 3.173779830417086600e+01 3.236690017208508152e+01
3.101891959743775118e+01 3.070281754466690671e+01 3.173532778699955870e+01 3.238701235586584914e+01
3.101656771086136999e+01 3.070049301231422589e+01 3.173292626401637406e+01 3.241176820541540593e+01
3.101428060162991684e+01 3.069823250340492038e+01 3.173059088481984347e+01 3.240841548927576810e+01
3.101205562988195297e+01 3.069603340882099829e+01 3.172831895388953427e+01 3.242885808955672644e+01
3.100989029727612234e+01 3.069389325931531687e+01 3.172610792020730486e+01 3.245461507130242040e+01
3.100778223763301611e+01 3.069180971626266796e+01 3.172395536770240554e+01 3.246453680864467373e+01
3.100572920831019275e+01 3.068978056313533997e+01 3.172185900644446477e+01 3.246097563655018803e+01
3.100372908224369795e+01 3.068780369763739557e+01 3.171981666451760162e+01 3.246951392544914228e+01
3.100177984059716607e+01 3.068587712443957827e+01 3.171782628051467512e+01 3.248351625413545207e+01
3.099987956596489624e+01 3.068399894846138309e+01 3.171588589659685553e+01 3.249375317845753131e+01
3.099802643608062169e+01 3.068216736865347727e+01 3.171399365207033938e+01 3.250518846864108014e+01
3.099621871798903427e+01 3.068038067223698917e+01 3.171214777743468360e+01 3.253047566040459060e+01
3.099445476264046562e+01 3.067863722936125015e+01 3.171034658886379276e+01 3.254221379415740500e+01
3.099273299987350683e+01 3.067693548814479954e+01 3.170858848308273892e+01 3.254928569684339124e+01
3.099105193375332590e+01 3.067527397006818290e+01 3.170687193260787851e+01 3.254841369974343479e+01
3.098941013823676727e+01 3.067365126568952505e+01 3.170519548132062582e+01 3.255813499308213466e+01
3.098780625313771253e+01 3.067206603065683623e+01 3.170355774034784702e+01 3.255954503494314878e+01
3.098623898036876056e+01 3.067051698199355769e+01 3.170195738422417264e+01 3.256147200400315000e+01
3.098470708043729260e+01 3.066900289463549711e+01 3.170039314731438296e+01 3.257753691321188683e+01
3.098320936917624380e+01 3.066752259819967463e+01 3.169886382047529949e+01 3.260465868474894080e+01
3.098174471469133806e+01 3.066607497396697468e+01 3.169736824793848484e+01 3.260782144881419242e+01
3.098031203450816307e+01 3.066465895206274794e+01 3.169590532439741892e+01 3.263471460462776008e+01
3.097891029290413556e+01 3.066327350881968883e+01 3.169447399228313955e+01 3.266622593369458372e+01
3.097753849841151919e+01 3.066191766430991095e+01 3.169307323921457353e+01 3.268900606266994657e+01
3.097619570147859491e+01 3.066059048003350540e+01 3.169170209561060858e+01 3.272139566745701700e+01
3.097488099227799552e+01 3.065929105675225230e+01 3.169035963245184462e+01 3.273648889576328713e+01
3.097359349865051215e+01 3.065801853245757869e+01 3.168904495918162922e+01 3.275710555244779698e+01
3.097233238417604184e+01 3.065677208046371405e+01 3.168775722173573683e+01 3.277146196481537288e+01
3.097109684636122040e+01 3.065555090761680646e+01 3.168649560069236060e+01 3.280158846467958966e+01
3.096988611493673460e+01 3.065435425261166458e+01 3.168525930953302350e+01 3.280565827232261000e+01
