# default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.492734997443157852e-01 2.522280451988613281e-01 2.282703866400549453e-01
3.956240899512293296e-01 4.001721537280282792e-01 3.667421889681805602e-01
5.189051487909062121e-01 5.240618824051105351e-01 4.882860420281225355e-01
6.206124211139179003e-01 6.255366635381602869e-01 5.924279937007551622e-01
7.038845102143931332e-01 7.082000828012301463e-01 6.794957892831428037e-01
7.745611099335217853e-01 7.781243252254723686e-01 7.531269344568173318e-01
8.389524400961166917e-01 8.415308069032187976e-01 8.188792917517038195e-01
8.987957064819123154e-01 9.001567336142040077e-01 8.790987367849428802e-01
9.545558914708327514e-01 9.549320701182759663e-01 9.352351004213066421e-01
1.006376682520359278e+00 1.006376682520359056e+00 9.880407399556814241e-01
1.054401767087973063e+00 1.054401767087972841e+00 1.037659342845548727e+00
1.098719948906154986e+00 1.098719948906154764e+00 1.084323400280870819e+00
1.140083585269791255e+00 1.140083585269791033e+00 1.128641582099052521e+00
1.179245033473768522e+00 1.179245033473768522e+00 1.170613888300094496e+00
1.217045454545454541e+00 1.217045454545454319e+00 1.210007827694033367e+00
1.254093518322253464e+00 1.254093518322253686e+00 1.246823400280871130e+00
1.290156733614204132e+00 1.290156733614204132e+00 1.280916918603124621e+00
1.323874073289014630e+00 1.323874073289014408e+00 1.312055891470832680e+00
1.354028197671874434e+00 1.354028197671873990e+00 1.340384006341476919e+00
1.380762794220265155e+00 1.380762794220264933e+00 1.366742424242424203e+00
1.405151515151515040e+00 1.405151515151514818e+00 1.391972306201041620e+00
1.429164057435322155e+00 1.429164057435321711e+00 1.416969696969696990e+00
1.454161448203977747e+00 1.454161448203977081e+00 1.441967087738352138e+00
1.479623821352556323e+00 1.479623821352556323e+00 1.466444612402083125e+00
1.503725167368843874e+00 1.503725167368843874e+00 1.489704797391003588e+00
1.524783164198105556e+00 1.524783164198105112e+00 1.510762794220264604e+00
1.541901767087973107e+00 1.541901767087972441e+00 1.529098736784942680e+00
1.555689645875852012e+00 1.555689645875851568e+00 1.544856312542518317e+00
1.568027693798958122e+00 1.568027693798957900e+00 1.558411700140435396e+00
1.580222054264583287e+00 1.580222054264583065e+00 1.570606060606060339e+00
1.592881397110132324e+00 1.592881397110132102e+00 1.582424242424242067e+00
1.605308248765719092e+00 1.605308248765719092e+00 1.593866245594980580e+00
1.616141582099052343e+00 1.616141582099052343e+00 1.604323400280870615e+00
1.625005218462689083e+00 1.625005218462688861e+00 1.613187036644506911e+00
1.632275336504071417e+00 1.632275336504071639e+00 1.620080976038446474e+00
1.638560606060605718e+00 1.638560606060605718e+00 1.625381397110131854e+00
1.644093518322253145e+00 1.644093518322253367e+00 1.629696969696969644e+00
1.649017760746495753e+00 1.649017760746495753e+00 1.633636363636363331e+00
1.652957154685889885e+00 1.652957154685889885e+00 1.637199578928314025e+00
1.655159342845548665e+00 1.655159342845548665e+00 1.639777945735416242e+00
1.655159342845548665e+00 1.655159342845548665e+00 1.641138972867707713e+00
1.653333333333333099e+00 1.653333333333333099e+00 1.641138972867707935e+00
1.650754966526231104e+00 1.650754966526231104e+00 1.639777945735416242e+00
1.648409090909090713e+00 1.648409090909090713e+00 1.637575757575757240e+00
1.646439393939393536e+00 1.646439393939393536e+00 1.634997390768655023e+00
1.644093518322253367e+00 1.644093518322253367e+00 1.632275336504071639e+00
1.640762794220264720e+00 1.640762794220264720e+00 1.629696969696969422e+00
1.635838551796022333e+00 1.635838551796022333e+00 1.627494781537310420e+00
1.629320791049525985e+00 1.629320791049525985e+00 1.626133754405018728e+00
