# qs, default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.713142455229837380e-03 9.263577525496374809e-02 9.424454441171004060e-02 9.424454441171004060e-02
1.142628491045967476e-02 1.482803258449722772e-01 1.504761621551761741e-01 1.504761621551761741e-01
1.713942736568951214e-02 1.966422058874781609e-01 1.987322522130040015e-01 1.987322522130040015e-01
2.285256982091934952e-02 2.376924139006156844e-01 2.392448766242731284e-01 2.392448766242731284e-01
2.856571227614918343e-02 2.716621578763790956e-01 2.725995244012621721e-01 2.725995244012621721e-01
3.427885473137902428e-02 3.000467856313645543e-01 3.004278072295449853e-01 3.004278072295449853e-01
3.999199718660886166e-02 3.250952929850121631e-01 3.251507723016410778e-01 3.251507723016410778e-01
4.570513964183869904e-02 3.477376794135657589e-01 3.477712789339961197e-01 3.477712789339961197e-01
5.141828209706852948e-02 3.685487162028634467e-01 3.688123884632573124e-01 3.688123884632573124e-01
5.713142455229836686e-02 3.879531648871549221e-01 3.884841056349744859e-01 3.884841056349744859e-01
6.284456700752820424e-02 4.061848932184884964e-01 4.067864304491476402e-01 4.067864304491476402e-01
6.855770946275804856e-02 4.233795862918371400e-01 4.238758912013255720e-01 4.238758912013255720e-01
7.427085191798787900e-02 4.395835996697635695e-01 4.398224894733583357e-01 4.398224894733583357e-01
7.998399437321772332e-02 4.546148926947322644e-01 4.543996953878469691e-01 4.543996953878469691e-01
8.569713682844755376e-02 4.684359629288459281e-01 4.677207738834909811e-01 4.677207738834909811e-01
9.141027928367739808e-02 4.812895312488187916e-01 4.803787878787877386e-01 4.803787878787877386e-01
9.712342173890722852e-02 4.933024296249579610e-01 4.924870023124366947e-01 4.924870023124366947e-01
1.028365641941370590e-01 5.044978358385447947e-01 5.038188873070388318e-01 5.038188873070388318e-01
1.085497066493669033e-01 5.149684610147051700e-01 5.142611779238950298e-01 5.142611779238950298e-01
1.142628491045967337e-01 5.247197766853886058e-01 5.238571375198546320e-01 5.238571375198546320e-01
1.199759915596323306e-01 5.337286050693140771e-01 5.327900326154670907e-01 5.327900326154670907e-01
1.256891340146679137e-01 5.420126524158130898e-01 5.411298647925818495e-01 5.411298647925818495e-01
1.314022764697035106e-01 5.496237458193978798e-01 5.489898989898989168e-01 5.489898989898989168e-01
1.371154189247390798e-01 5.568100776887331405e-01 5.566666666666666430e-01 5.566666666666666430e-01
1.428285613797746767e-01 5.638000442439170534e-01 5.641601678228849170e-01 5.641601678228849170e-01
1.485417038350045349e-01 5.704722850465926420e-01 5.709906044787560475e-01 5.709906044787560475e-01
1.542548462902343376e-01 5.765840792200457310e-01 5.769314467568811278e-01 5.769314467568811278e-01
1.599679887454641958e-01 5.819854170126879112e-01 5.820959595959593891e-01 5.820959595959593891e-01
1.656811312006940262e-01 5.866156182053404722e-01 5.865274063528406190e-01 5.865274063528406190e-01
1.713942736559238844e-01 5.905871901116951372e-01 5.903657901912244821e-01 5.903657901912244821e-01
1.771074161111536871e-01 5.940821733892869272e-01 5.937943776316600974e-01 5.937943776316600974e-01
1.828205585663835453e-01 5.972826086956519731e-01 5.969696969696967059e-01 5.969696969696967059e-01
1.885337010216133757e-01 6.003010033444813320e-01 5.999617497871839733e-01 5.999617497871839733e-01
1.942468434768432339e-01 6.030159968974181384e-01 6.025440062067231040e-01 6.025440062067231040e-01
1.999599859320730366e-01 6.051793969457982536e-01 6.044631981259152020e-01 6.044631981259152020e-01
2.056731283873028671e-01 6.066323406133672380e-01 6.057193255447597124e-01 6.057193255447597124e-01
2.113862708425326975e-01 6.073659747754596161e-01 6.063823900451070781e-01 6.063823900451070781e-01
2.170994132977625557e-01 6.075248376517138338e-01 6.065656565656565302e-01 6.065656565656565302e-01
2.228125557529923861e-01 6.072909698996653560e-01 6.065656565656565302e-01 6.065656565656565302e-01
2.285256982082222443e-01 6.068143812709029250e-01 6.065656565656565302e-01 6.065656565656565302e-01
2.342388406634521025e-01 6.061557519846048070e-01 6.063823900451071891e-01 6.063823900451071891e-01
2.399519831186819052e-01 6.053239351654366995e-01 6.057193255447599345e-01 6.057193255447599345e-01
2.456651255739117634e-01 6.042725752508361081e-01 6.044631981259152020e-01 6.044631981259152020e-01
2.513782680291416494e-01 6.029784944595213414e-01 6.027272727272725561e-01 6.027272727272725561e-01
2.570914104843714520e-01 6.014505459161578749e-01 6.008080808080806801e-01 6.008080808080806801e-01
2.628045529396012547e-01 5.997262320586432827e-01 5.990721554094380341e-01 5.990721554094380341e-01
2.685176953948311129e-01 5.979180602006688439e-01 5.978160279905933017e-01 5.978160279905933017e-01
2.742308378500609711e-01 5.961098883426942940e-01 5.971529634902460471e-01 5.971529634902460471e-01
2.799439803052907738e-01 5.942642140468226142e-01 5.969696969696968170e-01 5.969696969696968170e-01
