# omegas, jdos, jdos_alternative
1.010101010101010187e-02 6.107496438250719153e-03 9.848125000000014853e-03
2.020202020202020374e-02 1.269267245600384439e-02 1.621500000000002106e-02
3.030303030303030387e-02 1.913423014947149628e-02 2.330312499999997664e-02
4.040404040404040747e-02 2.592700811946915818e-02 3.034125000000003486e-02
5.050505050505050414e-02 3.342158580434156229e-02 3.781312500000003074e-02
6.060606060606060774e-02 4.138843588654944616e-02 4.644500000000000017e-02
7.070707070707070441e-02 5.032047908882107679e-02 5.771312500000010809e-02
8.080808080808081495e-02 6.151732682095216453e-02 6.820624999999996829e-02
9.090909090909091161e-02 7.161011112940314505e-02 7.493000000000007987e-02
1.010101010101010083e-01 7.847987612903425947e-02 8.089312499999991302e-02
1.111111111111111049e-01 8.450204732833586918e-02 8.591187500000001254e-02
1.212121212121212155e-01 8.988941475422575211e-02 9.036687500000012419e-02
1.313131313131313260e-01 9.419125740363709642e-02 9.407500000000007523e-02
1.414141414141414088e-01 9.776115439800994733e-02 9.823999999999996624e-02
1.515151515151515194e-01 1.007392403640593459e-01 1.013137499999999247e-01
1.616161616161616299e-01 1.029713799026285015e-01 1.039162499999999739e-01
1.717171717171717127e-01 1.053086169422784435e-01 1.063206250000000713e-01
1.818181818181818232e-01 1.082059761648409141e-01 1.084218750000000425e-01
1.919191919191919060e-01 1.111125502085120176e-01 1.105512500000000176e-01
2.020202020202020166e-01 1.133698554564512850e-01 1.126381250000001305e-01
2.121212121212121271e-01 1.154530363787800717e-01 1.151512499999999828e-01
2.222222222222222099e-01 1.172362692080538560e-01 1.171037499999998677e-01
2.323232323232323204e-01 1.189332921418626843e-01 1.182075000000001735e-01
2.424242424242424310e-01 1.208663917082988953e-01 1.195612500000002992e-01
2.525252525252525415e-01 1.225015675628138984e-01 1.210056250000000472e-01
2.626262626262626521e-01 1.241849376132530686e-01 1.226074999999999110e-01
2.727272727272727071e-01 1.256354627322449902e-01 1.240631250000000796e-01
2.828282828282828176e-01 1.266615862222271460e-01 1.249312499999999937e-01
2.929292929292929282e-01 1.275292898752580506e-01 1.261637500000000189e-01
3.030303030303030387e-01 1.285670955230999446e-01 1.270318750000001828e-01
3.131313131313131493e-01 1.295059696402223182e-01 1.285318750000000732e-01
3.232323232323232598e-01 1.301871972061978688e-01 1.288550000000001361e-01
3.333333333333333148e-01 1.306352714736845610e-01 1.297693750000002144e-01
3.434343434343434254e-01 1.312755982116058928e-01 1.307131250000001244e-01
3.535353535353535359e-01 1.318687606283489022e-01 1.312962499999998367e-01
3.636363636363636465e-01 1.323832908189060409e-01 1.322493749999999468e-01
3.737373737373737570e-01 1.329444226372998861e-01 1.330937500000002327e-01
3.838383838383838120e-01 1.334495092666838356e-01 1.332506250000000114e-01
3.939393939393939226e-01 1.338124979395267644e-01 1.338581250000001055e-01
4.040404040404040331e-01 1.340738715928427027e-01 1.345206250000001713e-01
4.141414141414141437e-01 1.346252614578063445e-01 1.346506249999998295e-01
4.242424242424242542e-01 1.353467800116945619e-01 1.354343750000000512e-01
4.343434343434343647e-01 1.360749292965576229e-01 1.367231250000000287e-01
4.444444444444444198e-01 1.367806937704807990e-01 1.371162499999998563e-01
4.545454545454545303e-01 1.372377521568929615e-01 1.371150000000000979e-01
4.646464646464646409e-01 1.377938462536534292e-01 1.374850000000002459e-01
4.747474747474747514e-01 1.381180822932774610e-01 1.372918749999999799e-01
4.848484848484848619e-01 1.384390142936774148e-01 1.378662499999999125e-01
4.949494949494949725e-01 1.387697097825210113e-01 1.382768750000001046e-01
5.050505050505050830e-01 1.391502761156228896e-01 1.387556250000000491e-01
5.151515151515151381e-01 1.391824508117211479e-01 1.389987500000000598e-01
5.252525252525253041e-01 1.391491825096428658e-01 1.386193750000001002e-01
5.353535353535353591e-01 1.392022591161818368e-01 1.392093750000002739e-01
5.454545454545454142e-01 1.392463424023777097e-01 1.393312500000001841e-01
5.555555555555555802e-01 1.391839885419748624e-01 1.405406249999996970e-01
5.656565656565656353e-01 1.393790268973663371e-01 1.404218750000002236e-01
5.757575757575758013e-01 1.395144633034168247e-01 1.412293750000002401e-01
5.858585858585858563e-01 1.398061509034811134e-01 1.407718750000000185e-01
5.959595959595959114e-01 1.399611991784339982e-01 1.411725000000001173e-01
6.060606060606060774e-01 1.401287872462432804e-01 1.417500000000000981e-01
6.161616161616161325e-01 1.402948634202318134e-01 1.416068750000001875e-01
6.262626262626262985e-01 1.406022776774645544e-01 1.416325000000000500e-01
6.363636363636363535e-01 1.408976607002478121e-01 1.421131250000002566e-01
6.464646464646465196e-01 1.410672368705347957e-01 1.422687500000001382e-01
6.565656565656565746e-01 1.413389850218081112e-01 1.422250000000002124e-01
6.666666666666666297e-01 1.413347992269591291e-01 1.421843750000000017e-01
6.767676767676767957e-01 1.412534504644523403e-01 1.419125000000001913e-01
6.868686868686868507e-01 1.412405609978152621e-01 1.426718750000000313e-01
6.969696969696970168e-01 1.412115196788380489e-01 1.426837500000000258e-01
7.070707070707070718e-01 1.409603560549007317e-01 1.420543750000002603e-01
7.171717171717171269e-01 1.409001034843164746e-01 1.417375000000001273e-01
7.272727272727272929e-01 1.410159951951813206e-01 1.420237499999999209e-01
7.373737373737373479e-01 1.409091274104218028e-01 1.424168750000002759e-01
7.474747474747475140e-01 1.408659436698180278e-01 1.423456250000000589e-01
7.575757575757575690e-01 1.411480305559914272e-01 1.414825000000000665e-01
7.676767676767676241e-01 1.411736831092799127e-01 1.418612500000003274e-01
7.777777777777777901e-01 1.412055990644029146e-01 1.414737500000001202e-01
7.878787878787878451e-01 1.413934242301576882e-01 1.414500000000002145e-01
7.979797979797980112e-01 1.417953158970701177e-01 1.412575000000000081e-01
8.080808080808080662e-01 1.417338320387195039e-01 1.412575000000001468e-01
8.181818181818182323e-01 1.413957229740243904e-01 1.413118750000000312e-01
8.282828282828282873e-01 1.412152747390676699e-01 1.411800000000001110e-01
8.383838383838383423e-01 1.410049868751298563e-01 1.410900000000000210e-01
8.484848484848485084e-01 1.407339555339704451e-01 1.406700000000000450e-01
8.585858585858585634e-01 1.406689315115915162e-01 1.419093750000000598e-01
8.686868686868687295e-01 1.406066877607866639e-01 1.411406250000001306e-01
8.787878787878787845e-01 1.403517704617840423e-01 1.409931250000001635e-01
8.888888888888888395e-01 1.400593288708525119e-01 1.407831250000002032e-01
8.989898989898990056e-01 1.398314737068591107e-01 1.408537499999999720e-01
9.090909090909090606e-01 1.395686241080464352e-01 1.403312500000002128e-01
9.191919191919192267e-01 1.393055523206696844e-01 1.405743750000003345e-01
9.292929292929292817e-01 1.391966078625321013e-01 1.412031250000001792e-01
9.393939393939394478e-01 1.390076891854438446e-01 1.395606249999999937e-01
9.494949494949495028e-01 1.387813668451628735e-01 1.399137500000002254e-01
9.595959595959595578e-01 1.385750986203078683e-01 1.393656250000000763e-01
9.696969696969697239e-01 1.383296978649257714e-01 1.395018750000001917e-01
9.797979797979797789e-01 1.379478780190717957e-01 1.395481250000000506e-01
9.898989898989899450e-01 1.377568972769182831e-01 1.391931250000002784e-01
1.000000000000000000e+00 1.376642267782013096e-01 1.393981250000003724e-01
