# omegas, jdos, jdos_alternative
1.010101010101010187e-02 8.376381240659125024e-03 1.211437500000000882e-02
2.020202020202020374e-02 1.658234685090874058e-02 2.127999999999998296e-02
3.030303030303030387e-02 2.580078266487047245e-02 3.228437499999995547e-02
4.040404040404040747e-02 3.680367904704807264e-02 4.263937500000004877e-02
5.050505050505050414e-02 4.680947953159129288e-02 5.046187499999998938e-02
6.060606060606060774e-02 5.418720354999732869e-02 5.733562500000002199e-02
7.070707070707070441e-02 6.055639538412848494e-02 6.351875000000002658e-02
8.080808080808081495e-02 6.634847146721942202e-02 6.899562499999996323e-02
9.090909090909091161e-02 7.166307623667142468e-02 7.355312499999988596e-02
1.010101010101010083e-01 7.655825829466762766e-02 7.881812500000012767e-02
1.111111111111111049e-01 8.118362499105966079e-02 8.277250000000013763e-02
1.212121212121212155e-01 8.568886948817160121e-02 8.693375000000017061e-02
1.313131313131313260e-01 8.996588672367508699e-02 9.052312499999998208e-02
1.414141414141414088e-01 9.355774190350665820e-02 9.439374999999995686e-02
1.515151515151515194e-01 9.683986226954424681e-02 9.800500000000011980e-02
1.616161616161616299e-01 1.000087857302774386e-01 1.010743749999999247e-01
1.717171717171717127e-01 1.029328272499153291e-01 1.040675000000000766e-01
1.818181818181818232e-01 1.057086970063929182e-01 1.076800000000002616e-01
1.919191919191919060e-01 1.085121347678745934e-01 1.099306250000001151e-01
2.020202020202020166e-01 1.113283227225023014e-01 1.126800000000000718e-01
2.121212121212121271e-01 1.141612704516796195e-01 1.150762500000001853e-01
2.222222222222222099e-01 1.170543457131818094e-01 1.173768750000002414e-01
2.323232323232323204e-01 1.196375523780301708e-01 1.194500000000000839e-01
2.424242424242424310e-01 1.217535484878814050e-01 1.215543750000000894e-01
2.525252525252525415e-01 1.235392430984954548e-01 1.231481250000001498e-01
2.626262626262626521e-01 1.252723713773612746e-01 1.252206250000001686e-01
2.727272727272727071e-01 1.269456919166206676e-01 1.276418750000001268e-01
2.828282828282828176e-01 1.287982489979769829e-01 1.296881250000002095e-01
2.929292929292929282e-01 1.308177359031876819e-01 1.317874999999999464e-01
3.030303030303030387e-01 1.327441800523867510e-01 1.338250000000001660e-01
3.131313131313131493e-01 1.348317236289328647e-01 1.348787500000000472e-01
3.232323232323232598e-01 1.367287602123426482e-01 1.366993750000000118e-01
3.333333333333333148e-01 1.385817755334048107e-01 1.392275000000000318e-01
3.434343434343434254e-01 1.401991429290666002e-01 1.400331250000001748e-01
3.535353535353535359e-01 1.415545719350971843e-01 1.417806250000000212e-01
3.636363636363636465e-01 1.428843312481378469e-01 1.432268750000001978e-01
3.737373737373737570e-01 1.442113622807959239e-01 1.449275000000001534e-01
3.838383838383838120e-01 1.454817765763893045e-01 1.461931250000000626e-01
3.939393939393939226e-01 1.465923353597259615e-01 1.470231250000003376e-01
4.040404040404040331e-01 1.479299365712011260e-01 1.480956250000000918e-01
4.141414141414141437e-01 1.489907442804851156e-01 1.492987500000001189e-01
4.242424242424242542e-01 1.501925565222813064e-01 1.510731249999999748e-01
4.343434343434343647e-01 1.513945493800846198e-01 1.519000000000002015e-01
4.444444444444444198e-01 1.523972446201142250e-01 1.534718750000002296e-01
4.545454545454545303e-01 1.536201492748505426e-01 1.546175000000002964e-01
4.646464646464646409e-01 1.545210431713085752e-01 1.562525000000001552e-01
4.747474747474747514e-01 1.556915715715118942e-01 1.562637499999999791e-01
4.848484848484848619e-01 1.565481750594094890e-01 1.570674999999998600e-01
4.949494949494949725e-01 1.572717399118703230e-01 1.585300000000001708e-01
5.050505050505050830e-01 1.583295102323253045e-01 1.586131250000001047e-01
5.151515151515151381e-01 1.594125664167231060e-01 1.601249999999998230e-01
5.252525252525253041e-01 1.604233307640176576e-01 1.615300000000000347e-01
5.353535353535353591e-01 1.612646387869629550e-01 1.619956250000001430e-01
5.454545454545454142e-01 1.620498572683148064e-01 1.622162500000000340e-01
5.555555555555555802e-01 1.627819389761676894e-01 1.635512500000002867e-01
5.656565656565656353e-01 1.632880765789460897e-01 1.639900000000001357e-01
5.757575757575758013e-01 1.639427802642883236e-01 1.644725000000001325e-01
5.858585858585858563e-01 1.645680590190063686e-01 1.652887500000000121e-01
5.959595959595959114e-01 1.650374066191163114e-01 1.659912500000001456e-01
6.060606060606060774e-01 1.655754957051695231e-01 1.664506249999999909e-01
6.161616161616161325e-01 1.662745363424687206e-01 1.666843750000001345e-01
6.262626262626262985e-01 1.668692042854284519e-01 1.678125000000000866e-01
6.363636363636363535e-01 1.673697512424386913e-01 1.675568749999999107e-01
6.464646464646465196e-01 1.678175280722920548e-01 1.689262500000000555e-01
6.565656565656565746e-01 1.682929037587380938e-01 1.690700000000001924e-01
6.666666666666666297e-01 1.685695263704585778e-01 1.696650000000001213e-01
6.767676767676767957e-01 1.687723620449480544e-01 1.703743750000002166e-01
6.868686868686868507e-01 1.691355159382608997e-01 1.701418750000004143e-01
6.969696969696970168e-01 1.694456361048277682e-01 1.709275000000001210e-01
7.070707070707070718e-01 1.699245244647826503e-01 1.706493750000000476e-01
7.171717171717171269e-01 1.704878748734422744e-01 1.709643749999997242e-01
7.272727272727272929e-01 1.710947215715823699e-01 1.713587500000002539e-01
7.373737373737373479e-01 1.717116663017107803e-01 1.715937499999999616e-01
7.474747474747475140e-01 1.719386659232762515e-01 1.722668750000001525e-01
7.575757575757575690e-01 1.721251216803932615e-01 1.725643749999999921e-01
7.676767676767676241e-01 1.723884417796398838e-01 1.722168750000001303e-01
7.777777777777777901e-01 1.724345170503525371e-01 1.729987500000001177e-01
7.878787878787878451e-01 1.726138166119053075e-01 1.728675000000004236e-01
7.979797979797980112e-01 1.730907877374291415e-01 1.735550000000004311e-01
8.080808080808080662e-01 1.733498175597247559e-01 1.736856250000002322e-01
8.181818181818182323e-01 1.735101617804104268e-01 1.737693749999999204e-01
8.282828282828282873e-01 1.736848487598071922e-01 1.748831250000001392e-01
8.383838383838383423e-01 1.737204432358333550e-01 1.744762500000001382e-01
8.484848484848485084e-01 1.739571172157717005e-01 1.746718749999997267e-01
8.585858585858585634e-01 1.741961131023619658e-01 1.745306250000001613e-01
8.686868686868687295e-01 1.743700000479103118e-01 1.750606249999999697e-01
8.787878787878787845e-01 1.744829194769509928e-01 1.746806249999999783e-01
8.888888888888888395e-01 1.745534868589920796e-01 1.755206249999999579e-01
8.989898989898990056e-01 1.746148638805521680e-01 1.753418750000000914e-01
9.090909090909090606e-01 1.748471135389696174e-01 1.762893750000000259e-01
9.191919191919192267e-01 1.748500354420206848e-01 1.755587499999998469e-01
9.292929292929292817e-01 1.748868229124070917e-01 1.759487500000000704e-01
9.393939393939394478e-01 1.749686867842596971e-01 1.753099999999999936e-01
9.494949494949495028e-01 1.750839238714080315e-01 1.759931250000001668e-01
9.595959595959595578e-01 1.751367345943165288e-01 1.757374999999999077e-01
9.696969696969697239e-01 1.752594488332803735e-01 1.759268750000001491e-01
9.797979797979797789e-01 1.741599432789143476e-01 1.749324999999998798e-01
9.898989898989899450e-01 1.717088844499967404e-01 1.723762500000000641e-01
1.000000000000000000e+00 1.694387034768130296e-01 1.699612500000000082e-01
