# qs, default, scipy, quadgk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.250053940809120009e-03 5.570905483803031966e-02 5.437403222528369717e-02 5.372613492503744426e-02
8.500107881618240019e-03 8.882466876229860864e-02 8.694910969096564246e-02 8.614826458542262921e-02
1.275016182242736176e-02 1.171971687163970155e-01 1.151625911232381783e-01 1.145146938229918143e-01
1.700021576323648004e-02 1.410518426859762586e-01 1.391162003914894474e-01 1.387741987018365486e-01
2.125026970404560178e-02 1.608789505342428650e-01 1.591189544900944997e-01 1.590244275479163472e-01
2.550032364485472353e-02 1.777637470258352503e-01 1.761362912027334415e-01 1.761362912027333860e-01
2.975037758566384180e-02 1.930189773593936897e-01 1.915158316252271731e-01 1.914213046830490206e-01
3.400043152647296008e-02 2.070721155595287855e-01 2.058109461156438780e-01 2.054689444259909792e-01
3.825048546728208182e-02 2.201984564274904743e-01 2.193275302845769659e-01 2.186796329843306852e-01
4.250053940809120356e-02 2.325100142164351347e-01 2.321016902110857316e-01 2.312063181633647879e-01
4.675059334890032531e-02 2.440067889263629053e-01 2.439804780898736092e-01 2.429905790999745685e-01
5.100064728970944705e-02 2.547648701689539941e-01 2.549638939209405430e-01 2.540685218732195993e-01
5.525070123051856186e-02 2.649543994883070686e-01 2.652048855095832103e-01 2.645569882093370406e-01
5.950075517132768360e-02 2.746805301415734535e-01 2.748564006610983990e-01 2.744198720292675420e-01
6.375080911213680535e-02 2.840843400273805885e-01 2.841074932598420810e-01 2.836709646280112240e-01
6.800086305294592015e-02 2.932419187574088482e-01 2.931111111111110445e-01 2.924632138108648194e-01
7.225091699375504883e-02 3.020412520785017430e-01 3.018311481358458837e-01 3.009357760881249400e-01
7.650097093456416364e-02 3.103660854087749721e-01 3.101507626078091606e-01 3.090663366757321340e-01
8.075102487537329232e-02 3.181403291365482722e-01 3.180115336638824619e-01 3.167741599265088137e-01
8.500107881618240713e-02 3.254041482320256251e-01 3.254357760881249617e-01 3.241399814876325669e-01
8.925113275684701253e-02 3.322986205938346371e-01 3.325180168227145905e-01 3.312806430853408313e-01
9.350118669751163181e-02 3.389648241206029144e-01 3.392943619467107541e-01 3.382099360146337830e-01
9.775124063817626496e-02 3.455369757149527876e-01 3.458232323232323102e-01 3.449278602755113110e-01
1.020012945788408565e-01 3.521381909547737221e-01 3.522575757575757138e-01 3.516096784573294887e-01
1.062513485195054896e-01 3.587864321608039142e-01 3.586919191919191174e-01 3.583499175022663574e-01
1.105014024603146183e-01 3.653876474006249042e-01 3.651262626262625766e-01 3.649372087419064381e-01
1.147514564011237193e-01 3.717716951301380801e-01 3.714660791184279387e-01 3.711240774287751787e-01
1.190015103419328479e-01 3.777103065143025407e-01 3.774638939209405963e-01 3.768159966206944267e-01
1.232515642827419627e-01 3.830983282959671277e-01 3.829083383653850148e-01 3.820129663176640156e-01
1.275016182235510775e-01 3.879468617998648727e-01 3.877994124517613050e-01 3.868095134618623199e-01
1.317516721643602062e-01 3.924260485700941103e-01 3.923484848484847798e-01 3.914531128007638361e-01
1.360017261051693349e-01 3.968000820831719677e-01 3.968030303030302131e-01 3.961551330027840434e-01
1.402517800459784358e-01 4.012322428871920588e-01 4.012575757575757018e-01 4.009155740679228863e-01
1.445018339867875923e-01 4.057225309821543835e-01 4.056175942699430936e-01 4.055230673277650522e-01
1.487518879275966932e-01 4.101546917861745301e-01 4.098246649770138084e-01 4.098246649770137529e-01
1.530019418684058219e-01 4.143406214344156346e-01 4.137842609366098046e-01 4.137842609366097490e-01
1.572519958092149506e-01 4.180922160620412775e-01 4.173073282643748882e-01 4.173073282643748882e-01
1.615020497500240515e-01 4.214342989857944310e-01 4.204660791184279267e-01 4.204660791184279267e-01
1.657521036908331524e-01 4.245010871082977033e-01 4.234718821671843436e-01 4.234718821671842326e-01
1.700021576316423089e-01 4.274849246231154365e-01 4.264999999999999347e-01 4.264999999999999347e-01
1.742522115724514375e-01 4.305157881041424828e-01 4.296226447749935673e-01 4.296226447749935673e-01
1.785022655132605385e-01 4.335175879396984122e-01 4.327813956290467168e-01 4.327813956290466058e-01
1.827523194540696394e-01 4.363783098766268465e-01 4.359040404040404049e-01 4.359040404040404049e-01
1.870023733948788236e-01 4.390398266239853298e-01 4.389321582368559960e-01 4.388376312946778990e-01
1.912524273356878968e-01 4.414260485700940984e-01 4.417489074012562744e-01 4.414069057116034589e-01
1.955024812764970255e-01 4.434719874280055318e-01 4.442236548760037373e-01 4.435757575757575122e-01
1.997525352173061264e-01 4.451956055184578265e-01 4.463564006610983848e-01 4.455555555555554270e-01
2.040025891581152828e-01 4.465969028414508157e-01 4.481832508355996780e-01 4.475353535353534529e-01
2.082526430989243837e-01 4.477519690086650961e-01 4.497626262626261417e-01 4.495151515151514232e-01
