# omegas, jdos, jdos_alternative
1.010101010101010187e-02 8.927972486289919305e-06 9.375000000000005955e-06
2.020202020202020374e-02 1.755346022450828951e-05 1.562500000000001049e-05
3.030303030303030387e-02 2.843453998972788542e-05 2.812500000000001617e-05
4.040404040404040747e-02 3.613911860119206658e-05 2.812500000000001617e-05
5.050505050505050414e-02 4.750286595696737456e-05 4.062500000000002524e-05
6.060606060606060774e-02 5.700471306880400057e-05 4.375000000000002666e-05
7.070707070707070441e-02 6.550894120325130641e-05 6.250000000000004196e-05
8.080808080808081495e-02 7.471466315187686672e-05 4.062500000000002524e-05
9.090909090909091161e-02 8.506487829518934141e-05 7.812500000000008294e-05
1.010101010101010083e-01 9.735424685029586342e-05 7.812500000000008294e-05
1.111111111111111049e-01 1.068865378115092546e-04 8.125000000000006403e-05
1.212121212121212155e-01 1.165931335277123787e-04 9.062500000000008862e-05
1.313131313131313260e-01 1.229724877351895309e-04 7.500000000000006119e-05
1.414141414141414088e-01 1.300494584236529076e-04 1.406250000000002062e-04
1.515151515151515194e-01 1.389160719659174607e-04 1.000000000000001132e-04
1.616161616161616299e-01 1.490987013677705982e-04 1.375000000000001980e-04
1.717171717171717127e-01 1.593107006056515009e-04 1.343750000000001356e-04
1.818181818181818232e-01 1.707241270951563941e-04 1.406250000000001791e-04
1.919191919191919060e-01 1.829670329732774000e-04 1.218750000000001435e-04
2.020202020202020166e-01 1.951254926220626486e-04 1.218750000000001706e-04
2.121212121212121271e-01 2.076079457832294905e-04 1.500000000000002037e-04
2.222222222222222099e-01 2.149740050715480996e-04 1.375000000000001980e-04
2.323232323232323204e-01 2.206477477262369419e-04 1.687500000000002529e-04
2.424242424242424310e-01 2.265974722561806801e-04 1.718750000000002069e-04
2.525252525252525415e-01 2.360027204954832838e-04 1.937500000000003185e-04
2.626262626262626521e-01 2.445081139855607879e-04 1.375000000000001709e-04
2.727272727272727071e-01 2.524494628185060350e-04 2.000000000000003348e-04
2.828282828282828176e-01 2.611015939483238659e-04 2.187500000000003840e-04
2.929292929292929282e-01 2.728522694270229783e-04 2.312500000000003626e-04
3.030303030303030387e-01 2.814415938314915257e-04 2.500000000000003305e-04
3.131313131313131493e-01 2.876562880683852927e-04 1.968750000000003538e-04
3.232323232323232598e-01 2.937376653226011266e-04 2.437500000000003954e-04
3.333333333333333148e-01 3.000024809198888784e-04 2.406250000000004143e-04
3.434343434343434254e-01 3.071171418402504627e-04 3.187500000000002397e-04
3.535353535353535359e-01 3.130854602877548528e-04 2.781250000000003229e-04
3.636363636363636465e-01 3.191439144991458743e-04 2.937500000000001742e-04
3.737373737373737570e-01 3.260529779159835576e-04 2.531250000000004200e-04
3.838383838383838120e-01 3.371785332869566844e-04 2.718750000000003065e-04
3.939393939393939226e-01 3.496258601374571369e-04 2.500000000000003847e-04
4.040404040404040331e-01 3.588309212414073014e-04 2.468750000000003494e-04
4.141414141414141437e-01 3.649645857567586468e-04 2.468750000000004036e-04
4.242424242424242542e-01 3.722444391524397096e-04 2.843750000000002309e-04
4.343434343434343647e-01 3.814732774514045278e-04 3.218750000000001666e-04
4.444444444444444198e-01 3.874251896707616252e-04 3.874999999999999864e-04
4.545454545454545303e-01 3.938801042345463853e-04 3.250000000000001477e-04
4.646464646464646409e-01 3.985432497227951862e-04 3.718750000000002978e-04
4.747474747474747514e-01 4.056204701644067386e-04 3.093750000000001880e-04
4.848484848484848619e-01 4.142393384628477036e-04 3.843750000000003306e-04
4.949494949494949725e-01 4.211845450291969162e-04 3.750000000000002246e-04
5.050505050505050830e-01 4.239798471072715367e-04 3.843750000000001679e-04
5.151515151515151381e-01 4.285735710743058093e-04 3.937499999999999486e-04
5.252525252525253041e-01 4.372820692569838203e-04 4.062500000000000356e-04
5.353535353535353591e-01 4.446202214525067317e-04 4.062499999999999271e-04
5.454545454545454142e-01 4.540484342513842280e-04 4.187500000000000683e-04
5.555555555555555802e-01 4.586858954878911591e-04 3.781249999999999889e-04
5.656565656565656353e-01 4.653944862543938428e-04 4.437500000000001339e-04
5.757575757575758013e-01 4.747854564489608514e-04 4.343750000000000280e-04
5.858585858585858563e-01 4.845760798147429938e-04 4.499999999999999877e-04
5.959595959595959114e-01 4.925180460043027467e-04 4.468750000000001692e-04
6.060606060606060774e-01 4.986799971220224562e-04 4.000000000000001276e-04
6.161616161616161325e-01 5.087369143112051729e-04 4.124999999999998351e-04
6.262626262626262985e-01 5.184002329612503578e-04 5.062500000000000810e-04
6.363636363636363535e-01 5.256161055006024121e-04 5.343749999999999108e-04
6.464646464646465196e-01 5.311554197921042417e-04 4.656250000000001100e-04
6.565656565656565746e-01 5.441361303355888614e-04 5.093750000000000621e-04
6.666666666666666297e-01 5.560509944961504599e-04 5.499999999999999247e-04
6.767676767676767957e-01 5.655218448337757811e-04 5.312500000000000382e-04
6.868686868686868507e-01 5.744209221045263811e-04 5.406249999999998730e-04
6.969696969696970168e-01 5.832768944481065950e-04 5.718750000000002260e-04
7.070707070707070718e-01 5.954780940027297334e-04 6.187500000000002677e-04
7.171717171717171269e-01 6.108758284433868976e-04 4.968749999999999209e-04
7.272727272727272929e-01 6.282559581139481866e-04 5.500000000000000331e-04
7.373737373737373479e-01 6.494995456199338874e-04 5.687499999999999197e-04
7.474747474747475140e-01 6.646671159371444039e-04 5.718749999999999008e-04
7.575757575757575690e-01 6.819687147050437640e-04 5.593749999999998680e-04
7.676767676767676241e-01 6.979288632568259433e-04 6.468749999999996638e-04
7.777777777777777901e-01 7.136879513940562686e-04 6.468749999999996638e-04
7.878787878787878451e-01 7.295790864768758469e-04 6.718749999999995125e-04
7.979797979797980112e-01 7.445242232749948357e-04 6.656249999999998756e-04
8.080808080808080662e-01 7.591823546702286887e-04 6.749999999999994936e-04
8.181818181818182323e-01 7.789596166239250640e-04 6.031249999999999285e-04
8.282828282828282873e-01 7.983965268065403844e-04 7.125000000000000257e-04
8.383838383838383423e-01 8.196696932182893870e-04 7.437499999999997282e-04
8.484848484848485084e-01 8.399628741067708846e-04 7.624999999999995063e-04
8.585858585858585634e-01 8.616663854920227159e-04 7.156250000000004404e-04
8.686868686868687295e-01 8.777099862631734068e-04 7.562499999999995441e-04
8.787878787878787845e-01 8.937610981174260458e-04 8.156249999999994017e-04
8.888888888888888395e-01 9.130104633196107740e-04 7.281249999999998227e-04
8.989898989898990056e-01 9.347180874214202186e-04 8.249999999999998871e-04
9.090909090909090606e-01 9.607995342626122603e-04 8.593749999999997875e-04
9.191919191919192267e-01 9.916193603408725993e-04 8.281249999999993261e-04
9.292929292929292817e-01 1.014604647942021114e-03 8.499999999999993021e-04
9.393939393939394478e-01 1.038281580118863810e-03 9.218749999999993009e-04
9.494949494949495028e-01 1.058876797567827365e-03 8.562499999999995896e-04
9.595959595959595578e-01 1.086234590156443186e-03 9.281249999999994799e-04
9.696969696969697239e-01 1.113154984609276369e-03 1.037500000000000444e-03
9.797979797979797789e-01 1.143239150270193528e-03 1.078125000000000307e-03
9.898989898989899450e-01 1.179327471421257479e-03 1.100000000000000283e-03
1.000000000000000000e+00 1.211711656365298566e-03 1.162500000000000555e-03
