# hist, gauss, lorentz, allen
4.583600448011694652e+02 4.605893351172628627e+02 4.578926688493525035e+02 4.621812015917884651e+02
4.529840122646438090e+02 4.551852663834590089e+02 4.525616258583993385e+02 4.386801424145641590e+02
4.440820778267731157e+02 4.462367394765146855e+02 4.437318824987939934e+02 4.290478598933034959e+02
4.317559591578259415e+02 4.338458246572586177e+02 4.315010074842287509e+02 4.190515510353088189e+02
4.161755991340374408e+02 4.181832296954203230e+02 4.160332631430638344e+02 3.941512227529065058e+02
3.976018907574509740e+02 3.995112233293414761e+02 3.975825724790268509e+02 3.741128013204929630e+02
3.764069042730743604e+02 3.782040145840713876e+02 3.765131920596337523e+02 3.565974594564545441e+02
3.530835587095933761e+02 3.547574670700414003e+02 3.533100612089526180e+02 3.401780982427025037e+02
3.282368985298402322e+02 3.297802635942496750e+02 3.285709321077893605e+02 3.081316840472949252e+02
3.025528239288478858e+02 3.039623651892320595e+02 3.029759710156408801e+02 2.898461343094017479e+02
2.767467658511420723e+02 2.780233034378982211e+02 2.772371001846789227e+02 2.639702731897745593e+02
2.515018629968669757e+02 2.526499517369252032e+02 2.520364444566137649e+02 2.368227452124125421e+02
2.274103015523948272e+02 2.284375325644553243e+02 2.279674725986528756e+02 2.089985422759384903e+02
2.049304966568534212e+02 2.058466073148788951e+02 2.054915995198923042e+02 1.901522798748747221e+02
1.843673173190869647e+02 1.851832683931886550e+02 1.849176488085504673e+02 1.754027816976256986e+02
1.658754173599135697e+02 1.666025682589467465e+02 1.664044519086363323e+02 1.579491650364692532e+02
1.494800779900164684e+02 1.501295382747872509e+02 1.499811380394437776e+02 1.426922664739008439e+02
1.351074896040530575e+02 1.356896709546566910e+02 1.355770956303366575e+02 1.323706327772173665e+02
1.226169332016139890e+02 1.231412861764768252e+02 1.230540415324542352e+02 1.215527459485830519e+02
1.118295855336586726e+02 1.123044842490660500e+02 1.122348594318243187e+02 1.111323679801924982e+02
1.025512892748814551e+02 1.029840215046705083e+02 1.029264819540212699e+02 1.018474679553842606e+02
9.458872376189211195e+01 9.498554801139896142e+01 9.493620007433460728e+01 9.240333216003740802e+01
8.775968937561228245e+01 8.812592878006167041e+01 8.808208077824048132e+01 8.825364891152415225e+01
8.189876990089271658e+01 8.223892167807125020e+01 8.219874184393370342e+01 8.480678071175857724e+01
7.685970210872751807e+01 7.717754889347716585e+01 7.713980856462598013e+01 7.930902596574902930e+01
7.251559562770214029e+01 7.281431073005836652e+01 7.277819701583150902e+01 7.603477640500145185e+01
6.875787598465360873e+01 6.904011853562309398e+01 6.900510077661431296e+01 7.232230120357424141e+01
6.549456309029194756e+01 6.576256153721207909e+01 6.572829792126267989e+01 6.877462517561809818e+01
6.264828560617115727e+01 6.290390950035059348e+01 6.287018283248571038e+01 6.613997095228796752e+01
6.015427590713397166e+01 6.039909673223110076e+01 6.036577090527454459e+01 6.369983578232996990e+01
5.795848349539767241e+01 5.819382566707653126e+01 5.816081656178389636e+01 6.264700264271126429e+01
5.601587517736357569e+01 5.624285847337662148e+01 5.621011475852458261e+01 6.127005574724940828e+01
5.428894715215404432e+01 5.450852181658336804e+01 5.447601244670455145e+01 5.888865398133238926e+01
5.274644874859261279e+01 5.295942442257260296e+01 5.292713060919970047e+01 5.663728103412729808e+01
5.136230365881873183e+01 5.156937316391588411e+01 5.153728329877345260e+01 5.581194655349717948e+01
5.011470788393116038e+01 5.031646674784133921e+01 5.028457325073661366e+01 5.354551355372294807e+01
4.898538138955395027e+01 4.918234387073854208e+01 4.915064127682705220e+01 5.263469649270921735e+01
4.795895081378380809e+01 4.815156305939979831e+01 4.812004689365437571e+01 5.188688727080216267e+01
4.702244228926148395e+01 4.721109315253402627e+01 4.717975929627525744e+01 5.086003013578426390e+01
4.616486579173002980e+01 4.634989574161581771e+01 4.631874010057503455e+01 5.091356663339409039e+01
4.537687495947624683e+01 4.555858343654472975e+01 4.552760178892366838e+01 4.983497041320615750e+01
4.465048878339956673e+01 4.482914029004114553e+01 4.479832823810226472e+01 4.918176971857201352e+01
4.397886381107790044e+01 4.415469296985268954e+01 4.412404594772705479e+01 4.871758998531310425e+01
4.335610748185975183e+01 4.352932325137259539e+01 4.349883656043732572e+01 4.825653018945187256e+01
4.277712490141270507e+01 4.294791410297115419e+01 4.291758295795806077e+01 4.740976108017437696e+01
